Polygonum sagittatum
Polygonum viviparum
Polypogon monspeliensis
Polystichum munitum
Pontederia cordata
Populus alba
Populus angustifolia
Populus balsamifera
Populus deltoides
Populus fremontii
Populus grandidentata
Populus heterophylla
Populus nigra
Populus tremuloides
Populus ×canadensis
Porotrichum bigelovii
Posidonia oceanica
Potamogeton amplifolius
Potamogeton crispus
Potamogeton diversifolius
Potamogeton epihydrus
Potamogeton foliosus
Potamogeton gramineus
Potamogeton hillii
Potamogeton natans
Potamogeton nodosus
Potamogeton praelongus
Potamogeton robbinsii
Potamogeton zosteriformis
Potentilla arguta
Potentilla diversifolia
Potentilla glandulosa
Potentilla gracilis
Potentilla plattensis
Prenanthes roanensis
Prestoea acuminata
Primula incana
Pritchardia maideniana
Pritchardia munroi
Prosopis pubescens
Prosopis reptans
Protothelenella corrosa
Protothelenella leucothelia
Prunella vulgaris
Prunus americana
Prunus angustifolia
Prunus emarginata
Prunus fasciculata
Prunus fruticosa
Prunus ilicifolia
Prunus maritima
Prunus nigra
Prunus padus
Prunus pensylvanica
Prunus pumila
Prunus serotina
Prunus subcordata
Prunus tenella
Prunus tomentosa
Prunus virginiana
Psathyrostachys juncea
Psathyrotopsis scaposa
Pseudoditrichum mirabile
Pseudoleskea atricha
Pseudorchis straminea
Pseudoroegneria libanotica
Pseudoroegneria spicata
Pseudotsuga macrocarpa
Pseudotsuga menziesii
Psidium guajava
Psilotum complanatum
Psora tenuifolia
Psora vallesiaca
Psydrax odorata
Ptelea trifoliata
Pteridium aquilinum
Pterocarpus officinalis
Pteryxia terebinthina
Ptilagrostis kingii
Ptilidium californicum
Ptychographa xylographoides
Puccinellia nuttalliana
Punctelia subpraesignis
Punica granatum
Purshia glandulosa
Purshia stansburiana
Purshia tridentata
Pycnanthemum verticillatum
Pyracantha coccinea
Pyrenothrix nigra
Pyrrhobryum spiniforme
Pyrus calleryana
Pyrus communis
Pyrus ussuriensis
Quercus acutissima
Quercus agrifolia
Quercus alba
Quercus bicolor
Quercus chrysolepis
Quercus coccinea
Quercus douglasii
Quercus dumosa
Quercus falcata
Quercus gambelii
Quercus garryana
Quercus imbricaria
Quercus kelloggii
Quercus laevis
Quercus laurifolia
Quercus lobata
Quercus lyrata
Quercus macrocarpa
Quercus marilandica
Quercus michauxii
Quercus mohriana
Quercus montana
Quercus muehlenbergii
Quercus nigra
Quercus pagoda
Quercus palustris
Quercus phellos
Quercus pumila
Quercus rubra
Quercus shumardii
Quercus stellata
Quercus texana
Quercus vacciniifolia
Quercus velutina
Quercus virginiana
Racopilum tomentosum
Radula auriculata
Ranunculus abortivus
Ranunculus alismifolius
Ranunculus cymbalaria
Ranunculus eschscholtzii
Ranunculus flammula
Ranunculus glaberrimus
Ranunculus hispidus
Ranunculus hyperboreus
Ranunculus laxicaulis
Ranunculus longirostris
Ranunculus macounii
Ranunculus pensylvanicus
Ranunculus repens
Ranunculus sceleratus
Ratibida columnifera
Ratibida pinnata
Ratibida tagetes
Rauiella praelonga
Rauvolfia nitida
Remirea maritima
Rhachithecium perpusillum
Rhamnus alnifolia
Rhamnus crocea
Rhexophyllum subnigrum
Rhizocarpon intersitum
Rhizocarpon macrosporum
Rhododendron albiflorum
Rhododendron arborescens
Rhododendron atlanticum
Rhododendron canadense
Rhododendron canescens
Rhododendron lapponicum
Rhododendron macrophyllum
Rhododendron maximum
Rhododendron occidentale
Rhododendron periclymenoides
Rhododendron viscosum
Rhus copallinum
Rhus glabra
Rhus microphylla
Rhus ovata
Rhus trilobata
Rhus typhina
Rhynchosia caribaea
Rhynchospora corniculata
