Abelia ×grandiflora
Deschampsia cespitosa
Deschampsia danthonioides
Deschampsia elongata
Deschampsia flexuosa
Desmanthus illinoensis
Desmanthus virgatus
Desmodium heterophyllum
Desmodium incanum
Desmodium intortum
Desmodium paniculatum
Desmodium perplexum
Desmodium tortuosum
Desmodium triflorum
Deutzia gracilis
Dianthus gratianopolitanus
Diapensia lapponica
Dibaeis absoluta
Dicentra formosa
Dichanthelium aciculare
Dichanthelium clandestinum
Dichanthelium commutatum
Dichanthelium consanguineum
Dichanthelium koolauense
Dichanthelium latifolium
Dichanthelium ovale
Dichanthelium scabriusculum
Dichanthelium scoparium
Dichanthium annulatum
Dichanthium aristatum
Dicranopteris flexuosa
Dictyonema glabratum
Diervilla lonicera
Digitalis purpurea
Digitaria californica
Digitaria ciliaris
Digitaria eriantha
Digitaria pauciflora
Diodia serrulata
Dioscorea cayenensis
Diospyros blancoi
Diospyros virginiana
Diplophyllum albicans
Diploschistes scruposus
Discelium nudum
Distichlis spicata
Distopyrenis americana
Ditrysinia fruticosa
Dodecatheon dentatum
Dodecatheon meadia
Dodecatheon pulchellum
Dodonaea viscosa
Doliocarpus major
Douglasia laevigata
Downingia bicornuta
Downingia laeta
Downingia yina
Draba incerta
Draba kassii
Draba oligosperma
Dracaena fragrans
Dracopis amplexicaulis
Drosera anglica
Drummondia prorepens
Dryas drummondii
Dryas octopetala
Dryopteris cristata
Dudleya pulverulenta
Dulichium arundinaceum
Echinacea pallida
Echinacea purpurea
Echinocereus poselgeri
Echinochloa colona
Echinochloa crus-galli
Echinochloa frumentacea
Echinochloa walteri
Echinothecium reticulatum
Eclipta prostrata
Egeria densa
Ehrharta calycina
Eichhornia crassipes
Eiglera flavida
Elaeagnus angustifolia
Elaeagnus commutata
Elaeagnus umbellata
Elaphoglossum glabellum
Elaphoglossum petiolatum
Eleocharis acicularis
Eleocharis bicolor
Eleocharis cellulosa
Eleocharis compressa
Eleocharis equisetoides
Eleocharis obtusa
Eleocharis ovata
Eleocharis palustris
Eleocharis parvula
Eleocharis quadrangulata
Eleocharis rostellata
Eleocharis tenuis
Elephantopus carolinianus
Elliottia pyroliflora
Ellisia nyctelea
Elodea canadensis
Elymus canadensis
Elymus elymoides
Elymus glaucus
Elymus lanceolatus
Elymus repens
Elymus riparius
Elymus sibiricus
Elymus submuticus
Elymus trachycaulus
Elymus virginicus
Empetrum nigrum
Encelia farinosa
Engelmannia peristenia
Entodon beyrichii
Entodon concinnus
Entodontopsis leucostega
Entosthodon californicus
Eopyrenula intermedia
Ephedra antisyphilitica
Ephedra aspera
Ephedra nevadensis
Ephedra torreyana
Ephedra trifurca
Ephedra viridis
Ephemerum serratum
Epilichen stellatus
Epilobium coloratum
Epilobium glaberrimum
Epilobium leptophyllum
Epilobium torreyi
Equisetum arvense
Equisetum fluviatile
Equisetum laevigatum
Equisetum sylvaticum
Eragrostis cumingii
Eragrostis curvula
Eragrostis hypnoides
Eragrostis intermedia
Eragrostis lehmanniana
Eragrostis spectabilis
Eragrostis superba
Eragrostis trichodes
Eragrostis variabilis
Erechtites hieraciifolius
Eremochloa ophiuroides
Eremonotus myriocarpus
Ericameria nauseosa
Ericameria pinifolia
Ericameria zionis
Erigeron acris
Erigeron compositus
Erigeron eatonii
Erigeron filifolius
Erigeron linearis
Erigeron peregrinus
Erigeron petrophilus
Erigeron philadelphicus
Erigeron strigosus
Eriocaulon aquaticum
Eriocaulon compressum
Eriocaulon decangulare
Eriochloa polystachya
