name	lsid	uses	sources	family	page
Cryptocoryne wendtii de Wit	86750-1	EU ME	[3, 4]		17
Culcasia angolensis Welw. ex Schott	86758-1	ME	[4, 11]		17
Culcasia falcifolia Engl.	86765-1	ME	[4]		17
Culcasia mannii (Hook.f.) Engl.	86776-1	EU	[7]		17
Culcasia parviflora N.E.Br.	86779-1	MA ME PO	[4, 11]		17
Culcasia scandens P.Beauv.	86788-1	HF MA ME PO	[4, 8, 11]		17
Culcasia seretii De Wild.	86789-1	MA	[8]		17
Culcasia striolata Engl.	86790-1	MA	[8, 11]		17
Culcasia yangambiensis Louis & Mullend.	77177416-1	ME	[4]		17
Cyrtosperma cuspidispathum Alderw.	86814-1	IF	[5]		17
Cyrtosperma giganteum Engl.	86818-1	MA	[5]		17
N.E.Br.	86822-1	EU ME	[3, 4]		17
Cyrtosperma macrotum Becc. ex Engl.	86824-1	HF	[5]		17
Cyrtosperma merkusii (Hassk.) Schott	86826-1	HF PO	[3, 4, 5, 7]		17
Dieffenbachia aurantiaca Engl.	80119-2	ME	[4]		17
Dieffenbachia costata Klotzsch ex Schott	86857-1	ME	[4]		17
Dieffenbachia longispatha Engl. & K.Krause	80133-2	ME	[4]		17
Dieffenbachia obliqua Poepp.	86895-1	ME	[4]		17
Dieffenbachia oerstedii Schott	86896-1	ME	[4]		17
Dieffenbachia paludicola N.E.Br. ex Gleason	80138-2	ME	[4]		17
Dieffenbachia pittieri Engl. & K.Krause	80149-2	ME	[4]		17
Dieffenbachia seguine (Jacq.) Schott	86911-1	EU ME PO	[3, 4, 8, 11]		17
Dracontium asperum K.Koch	86925-1	HF ME	[3, 4]		17
Dracontium dubium Kunth	315520-2	ME	[4]		17
Dracontium gigas (Seem.) Engl.	86938-1	ME	[4]		17
Dracontium longipes Engl.	83947-2	ME	[4]		17
Dracontium peruvianum G.H.Zhu & Croat	60438136-2	ME	[4]		18
Dracontium pittieri Engl.	86951-1	ME	[4]		18
Dracontium polyphyllum L.	303027-2	EU ME	[3, 4]		18
Dracontium spruceanum (Schott) G.H.Zhu	991397-1	ME	[4]		18
Dracontium ulei K.Krause	83954-2	ME	[4]		18
Dracunculus vulgaris Schott	86985-1	EU ME PO	[3, 4]		18
Eminium regelii Vved.	87000-1	ME	[4]		18
Eminium spiculatum (Blume) Schott	87002-1	ME	[4]		18
Epipremnum amplissimum (Schott) Engl.	87011-1	EU MA	[3, 5]		18
Epipremnum aureum (Linden & André) G.S.Bunting	87014-1	EU PO	[3, 5]		18
